Accessory,,hd,Wool Knit Earflap Beanie,,Tier 1,jack,jack_hd_101,jack_hd_101,,,1,0,0,7,6000,0,30,11000,0,90,0,0,365,0,0,-1,0,0,0,7,0,7,1,7,0,7,0,7,0,7,Enhancement Capacity:,&
Accessory,,hd,Baseball Cap,,Tier 1,jack,jack_hd_102,jack_hd_102,,,1,0,0,7,6000,0,30,11000,0,90,0,0,365,0,0,-1,0,0,0,7,0,7,0,7,1,7,0,7,0,7,Enhancement Capacity:,&
Accessory,,hd,Blue Ocean Cap,,Tier 1,sun,sun_hd_101,sun_hd_101,,,1,0,0,7,6000,0,30,11000,0,90,0,0,365,0,0,-1,0,0,0,7,0,7,0,7,1,7,0,7,0,7,Enhancement Capacity:,&
Accessory,,hd,Wool Knit Earflap Beanie,,Tier 1,sun,sun_hd_102,sun_hd_102,,,1,0,0,7,6000,0,30,11000,0,90,0,0,365,0,0,-1,0,0,0,7,0,7,1,7,0,7,0,7,0,7,Enhancement Capacity:,&
Accessory,,hd,Baseball Cap,,Tier 1,ed,ed_hd_101,ed_hd_101,,,1,0,0,7,6000,0,30,11000,0,90,0,0,365,0,0,-1,0,0,0,7,0,7,0,7,1,7,0,7,0,7,Enhancement Capacity:,&
Accessory,,mk,Boarder Headband,,Tier 1,ed,ed_mk_102,ed_mk_102,,,1,0,0,7,6000,0,30,11000,0,90,0,0,365,0,0,-1,0,0,0,7,0,7,1,7,0,7,0,7,0,7,Enhancement Capacity:,&
Accessory,,hd,Blue Baseball Cap,,Tier 1,ed,ed_hd_103,ed_hd_103,,,1,0,0,7,6000,0,30,11000,0,90,0,0,365,0,0,-1,0,0,0,7,0,7,0,7,1,7,0,7,0,7,Enhancement Capacity:,&
Discount,,gv,Basic Junior Gloves,,Tier 1,jack,jack_gv_001,jack_gv_001,,,1,0,0,7,8000,0,30,15000,0,90,0,0,365,0,0,-1,0,0,0,7,0,7,0,7,0,7,0,7,1,7,Enhancement Capacity:,&
Discount,,gv,Leisure Gloves,,Tier 1,jack,jack_gv_102,jack_gv_102,,,1,0,0,7,8000,0,30,15000,0,90,0,0,365,0,0,-1,0,0,0,7,0,7,0,7,0,7,1,7,0,7,Enhancement Capacity:,&
Discount,,sh,Basic Junior Boots,,Tier 1,jack,jack_sh_001,jack_sh_001,,,1,0,0,7,8000,0,30,15000,0,90,0,0,365,0,0,-1,0,0,0,7,1,7,0,7,0,7,0,7,0,7,Enhancement Capacity:,&
